#Copyright https://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
#https://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
Date,Winner,Pts,Loser,Pts
Aug 24 2019,(8)ÊFlorida,24,Miami (FL),20
Aug 24 2019,Hawaii,45,Arizona,38
Aug 29 2019,Alabama-Birmingham,24,Alabama State,19
Aug 29 2019,Arizona State,30,Kent State,7
Aug 29 2019,Bowling Green State,46,Morgan State,3
Aug 29 2019,Buffalo,38,Robert Morris,10
Aug 29 2019,Central Arkansas,35,Western Kentucky,28
Aug 29 2019,(17)ÊCentral Florida,62,Florida A&M,0
Aug 29 2019,Central Michigan,38,Albany,21
Aug 29 2019,Cincinnati,24,UCLA,14
Aug 29 2019,(1)ÊClemson,52,Georgia Tech,14
Aug 29 2019,Connecticut,24,Wagner,21
Aug 29 2019,Minnesota,28,South Dakota State,21
Aug 29 2019,San Jose State,35,Northern Colorado,18
Aug 29 2019,(12)ÊTexas A&M,41,Texas State,7
Aug 29 2019,Tulane,42,Florida International,14
Aug 29 2019,(14)ÊUtah,30,Brigham Young,12
Aug 30 2019,Army,14,Rice,7
Aug 30 2019,Colorado,52,Colorado State,31
Aug 30 2019,(18)ÊMichigan State,28,Tulsa,7
Aug 30 2019,Nevada,34,Purdue,31
Aug 30 2019,Oklahoma State,52,Oregon State,36
Aug 30 2019,Rutgers,48,Massachusetts,21
Aug 30 2019,Wake Forest,38,Utah State,35
Aug 30 2019,(19)ÊWisconsin,49,South Florida,0
Aug 31 2019,Air Force,48,Colgate,7
Aug 31 2019,(2)ÊAlabama,42,Duke,3
Aug 31 2019,Appalachian State,42,East Tennessee State,7
Aug 31 2019,Arkansas,20,Portland State,13
Aug 31 2019,(16)ÊAuburn,27,(11)ÊOregon,21
Aug 31 2019,Baylor,56,Stephen F. Austin,17
Aug 31 2019,Boise State,36,Florida State,31
Aug 31 2019,Boston College,35,Virginia Tech,28
Aug 31 2019,California,27,California-Davis,13
Aug 31 2019,Charlotte,49,Gardner-Webb,28
Aug 31 2019,Eastern Michigan,30,Coastal Carolina,23
Aug 31 2019,(3)ÊGeorgia,30,Vanderbilt,6
Aug 31 2019,Georgia State,38,Tennessee,30
Aug 31 2019,Illinois,42,Akron,3
Aug 31 2019,Indiana,34,Ball State,24
Aug 31 2019,(20)ÊIowa,38,Miami (OH),14
Aug 31 2019,(21)ÊIowa State,29,Northern Iowa,26
Aug 31 2019,Kansas,24,Indiana State,17
Aug 31 2019,Kansas State,49,Nicholls State,14
Aug 31 2019,Kentucky,38,Toledo,24
Aug 31 2019,(6)ÊLouisiana State,55,Georgia Southern,3
Aug 31 2019,Louisiana-Monroe,31,Grambling State,9
Aug 31 2019,Marshall,56,Virginia Military Institute,17
Aug 31 2019,Maryland,79,Howard,0
Aug 31 2019,Memphis,15,Mississippi,10
Aug 31 2019,(7)ÊMichigan,40,Middle Tennessee State,21
Aug 31 2019,Mississippi State,38,Louisiana,28
Aug 31 2019,Navy,45,Holy Cross,7
Aug 31 2019,(24)ÊNebraska,35,South Alabama,21
Aug 31 2019,Nevada-Las Vegas,56,Southern Utah,23
Aug 31 2019,New Mexico,39,Sam Houston State,31
Aug 31 2019,North Carolina,24,South Carolina,20
Aug 31 2019,North Carolina State,34,East Carolina,6
Aug 31 2019,North Texas,51,Abilene Christian,31
Aug 31 2019,Northern Illinois,24,Illinois State,10
Aug 31 2019,Ohio,41,Rhode Island,20
Aug 31 2019,(5)ÊOhio State,45,Florida Atlantic,21
Aug 31 2019,Old Dominion,24,Norfolk State,21
Aug 31 2019,(15)ÊPenn State,79,Idaho,7
Aug 31 2019,San Diego State,6,Weber State,0
Aug 31 2019,Southern California,31,Fresno State,23
Aug 31 2019,Southern Methodist,37,Arkansas State,30
Aug 31 2019,Southern Mississippi,38,Alcorn State,10
Aug 31 2019,(25)ÊStanford,17,Northwestern,7
